"Client ID ","Transaction Type","Transaction Date","Priority","Processing Fees"
"HJ","SELL","2013-11-04","N","100.0"
"HJ","WITHDRAW","2013-11-30","N","100.0"
"GS","BUY","2013-11-08","Y","500.0"
"GS","BUY","2013-11-23","Y","510.0"
"GS","DEPOSIT","2013-11-11","Y","500.0"
"GS","WITHDRAW","2013-11-05","Y","500.0"
"GS","WITHDRAW","2013-11-23","Y","510.0"
"GS","WITHDRAW","2013-11-26","Y","500.0"
"AS","BUY","2013-11-06","N","50.0"
"AS","DEPOSIT","2013-11-02","N","50.0"
"AS","SELL","2013-11-07","N","100.0"
"AS","SELL","2013-11-10","N","100.0"
"AS","SELL","2013-11-13","N","100.0"
"AS","SELL","2013-11-20","N","100.0"
"AP","BUY","2013-11-03","Y","500.0"
"AP","BUY","2013-11-09","Y","500.0"
"AP","BUY","2013-11-12","Y","500.0"
"AP","DEPOSIT","2013-11-06","Y","500.0"
"AP","DEPOSIT","2013-11-19","Y","500.0"
"AP","SELL","2013-11-25","Y","500.0"
